categoryId,difficulty,title,path,sourceLine,topicId
"ap_hn","AR","Glial heterotopia","Head and Neck > Larynx > Physiologic Changes, Metabolic Conditions & Trauma/Infarct > Glial heterotopia","1638","f5857eb9-6c63-497c-851a-e90cfecce1ca"
"ap_hn","C","Nasal polyps","Head and Neck > Larynx > Physiologic Changes, Metabolic Conditions & Trauma/Infarct > Nasal polyps","1647","c3f3808b-3521-47c4-b450-f4bc59895f28"
"ap_hn","C","Contact ulcer","Head and Neck > Larynx > Paraganglioma > Contact ulcer","1695","e147464f-7414-4b0b-8314-0df43d8a65c1"
"ap_hn","C","Cysts","Head and Neck > Larynx > Paraganglioma > Cysts","1696","3f2828d1-0548-4223-b315-472755462369"
"ap_hn","AR","Infections","Head and Neck > Larynx > Paraganglioma > Infections","1697","7ac28596-14f2-489c-8de6-fed754a6137a"
"ap_hn","AR","Branchial cleft anomalies","Head and Neck > Eye and Ocular Adnexa > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Branchial cleft anomalies","1797","14bdba0f-ce19-4416-b886-88e708ad91d6"
"ap_hn","C","Cholesteatoma","Head and Neck > Eye and Ocular Adnexa > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Cholesteatoma","1799","1b9a46e1-e23a-4566-ba21-44aa5e4ead9b"
"ap_hn","C","Infections","Head and Neck > Eye and Ocular Adnexa > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Infections","1800","540484dc-3b23-4b10-9543-ece39e1c75b9"
"ap_hn","AR","Kimura disease","Head and Neck > Eye and Ocular Adnexa > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Kimura disease","1803","6b334d42-7b60-4ab9-b000-e2efa0b6625f"
"ap_gi","C","Infections","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Infections","1932","7ede8c2a-b226-4493-8dc4-2e90988f6410"
"ap_gi","C","Mesenchymal tumors","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Mesenchymal tumors","1936","e82e42c2-650a-4059-91d2-7ee0cf263cb0"
"ap_gi","AR","Hamartomas","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Hamartomas","1962","c6451bb4-7501-428a-a4b7-6b060f5acbb3"
"ap_gi","AR","Zollinger-Ellison Syndrome","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Zollinger-Ellison Syndrome","1963","7c87d83b-c396-489c-b5a7-92931fa67f5f"
"ap_gi","AR","Menetrier Disease","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Menetrier Disease","1964","9cc590dd-eb8e-47e9-aada-b38e20809662"
"ap_gi","C","Meckel diverticulum","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Meckel diverticulum","2080","147807c0-cb07-44ab-a1dd-3a85b7d0bc01"
"ap_gi","F","Autoimmune enteropathy","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Autoimmune enteropathy","2084","189fcd92-eab3-44f9-8b87-def16daad800"
"ap_gi","C","Celiac disease and tropical sprue","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Celiac disease and tropical sprue","2086","5ff86977-53f9-4fdd-b61d-2a8e3e37d7a8"
"ap_gi","C","Peptic duodenitis / ulcer","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Peptic duodenitis / ulcer","2087","8169481e-44b9-474e-819b-4737d5e2a486"
"ap_gi","C","Crohn disease","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Crohn disease","2088","a2b54b0f-165e-4f7f-8313-3a4ee0768a26"
"ap_gi","AR","Pouchitis","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Pouchitis","2090","5ffa96e0-bbe1-4e9c-9413-66c2f89be52f"
"ap_gi","AR","Whipple disease","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Whipple disease","2093","6a01c518-e16b-486a-b2b7-41f35ba0548d"
"ap_gi","C","Lymphomas","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Neuroendocrine tumors > Lymphomas","2101","19bf44d3-9dd4-4993-843a-d41714d08907"
"ap_gi","C","Melanosis coli","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Melanosis coli","2105","c5bfdb5c-be57-4333-8462-fe5418f6262e"
"ap_gi","C","Hirschsprung disease","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Hirschsprung disease","2107","704f5a9f-d5da-42f9-91af-bd7a07e9e05f"
"ap_gi","AR","Diverticular disease","The Digestive System > The Gastrointestinal Tract > Familial Colorectal Cancer Syndromes > Diverticular disease","2115","dd9bf6b5-c1b0-4864-bd9e-0b298f67d846"
"ap_gi","C","Ulcerative colitis","The Digestive System > The Gastrointestinal Tract > Familial Colorectal Cancer Syndromes > Ulcerative colitis","2117","39ea9242-9a84-4420-8000-ee2428bc5450"
"ap_gi","C","Crohn's disease","The Digestive System > The Gastrointestinal Tract > Familial Colorectal Cancer Syndromes > Crohn's disease","2118","f02e61e2-6e6d-44bc-a66f-320a017c2776"
"ap_gi","C","Pneumatosis coli","The Digestive System > The Gastrointestinal Tract > Familial Colorectal Cancer Syndromes > Pneumatosis coli","2119","bbdb2542-3a5c-41dd-ae5a-938d60b7cf05"
"ap_gi","C","Pseudomembranous colitis (C. difficile colitis)","The Digestive System > The Gastrointestinal Tract > Familial Colorectal Cancer Syndromes > Pseudomembranous colitis (C. difficile colitis)","2181","783f1f8c-c70a-48d3-baf4-1804002a5432"
"ap_gi","C","Amebic colitis","The Digestive System > The Gastrointestinal Tract > Familial Colorectal Cancer Syndromes > Amebic colitis","2182","3861597c-5448-414e-911a-dd3237dc0272"
"ap_gi","AR","Medication-induced enterocolitis","The Digestive System > The Gastrointestinal Tract > Familial Colorectal Cancer Syndromes > Medication-induced enterocolitis","2183","c613798e-e3b0-43ed-a8b7-aac7628a937f"
"ap_gi","C","Serrated polyps","The Digestive System > The Gastrointestinal Tract > Familial Colorectal Cancer Syndromes > Serrated polyps","2189","a68c0f28-2d32-4388-9724-12c991a2dca7"
"ap_gi","C","Appendicitis","The Digestive System > The Gastrointestinal Tract > Familial Colorectal Cancer Syndromes > Appendicitis","2247","be26cbed-b3e6-4693-b09c-adfba6cec5b7"
"ap_gi","C","Enterobius vermicularis","The Digestive System > The Gastrointestinal Tract > Familial Colorectal Cancer Syndromes > Enterobius vermicularis","2248","5913044e-b704-4f0f-a81f-3959137b143c"
"ap_gi","C","Tailgut cyst","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Tailgut cyst","2262","04486cc7-eb7e-42e1-a512-6547da432009"
"ap_gi","C","Hemorrhoids","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Hemorrhoids","2264","8998a8bd-81eb-4493-a741-bc4c1f0d51e8"
"ap_gi","C","Other infections of the anal canal","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Other infections of the anal canal","2266","d80867cc-a1f7-4a7f-9b67-06ccb36915e6"
"ap_gi","C","Hemochromatosis","The Digestive System > The Liver and Biliary Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Hemochromatosis","2379","6825d573-3be9-4f73-852b-5aaa9122f460"
"ap_gi","AR","Wilson Disease","The Digestive System > The Liver and Biliary Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Wilson Disease","2380","a74900a3-34f3-4182-b251-84be9e453f7e"
"ap_gi","AR","Other genetic metabolic conditions","The Digestive System > The Liver and Biliary Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Other genetic metabolic conditions","2383","256f43c0-c496-426e-8ca5-1276d31e7b12"
"ap_gi","F","Steatohepatitis","The Digestive System > The Liver and Biliary Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Steatohepatitis","2385","0068f240-04bc-4344-9f80-cb2afacda422"
